-0.03	0.01	1.00	0.85	-0.79	-1.72	119	-63	179
-0.02	0.02	1.00	0.92	-0.83	-2.01	119	-65	179
-0.02	0.01	1.01	1.05	-0.67	-1.98	109	-65	185
-0.03	0.01	1.00	0.88	-0.69	-1.79	118	-64	176
-0.03	0.01	1.01	0.89	-0.55	-1.97	114	-64	180
-0.03	0.02	1.00	0.92	-0.74	-1.88	114	-64	178
-0.03	0.01	1.00	0.95	-0.74	-1.97	117	-65	183
-0.03	0.01	1.00	1.00	-0.67	-1.91	117	-63	179
-0.03	0.01	1.01	0.74	-0.70	-2.02	121	-67	181
-0.02	0.01	1.01	0.94	-0.95	-1.93	118	-66	178
-0.02	0.01	1.01	0.92	-0.61	-1.98	115	-61	177
-0.03	0.02	1.00	0.95	-0.83	-1.95	116	-66	182
-0.03	0.01	1.01	1.03	-0.76	-1.98	109	-61	183
-0.03	0.02	1.00	0.91	-0.74	-2.02	116	-68	178
-0.02	0.01	1.01	0.95	-0.84	-2.14	116	-68	180
-0.02	0.01	1.01	0.89	-0.74	-1.89	118	-68	180
-0.02	0.01	1.00	0.84	-0.88	-1.82	110	-68	174
-0.02	0.01	1.01	0.95	-0.80	-1.91	121	-69	179
-0.03	0.02	1.00	0.97	-0.82	-1.94	119	-67	181
-0.03	0.01	1.00	0.89	-0.84	-1.86	116	-64	180
-0.02	0.02	1.01	1.01	-0.68	-2.08	114	-64	182
-0.02	0.01	1.01	0.89	-0.85	-1.99	119	-65	181
-0.03	0.01	1.00	0.95	-0.76	-1.91	122	-62	178
-0.02	0.01	1.01	0.95	-0.73	-1.86	114	-58	178
-0.03	0.01	1.01	1.05	-0.79	-1.98	115	-67	183
-0.03	0.01	1.00	0.85	-0.74	-1.83	115	-61	177
-0.03	0.01	1.01	1.06	-0.79	-1.95	115	-65	179
-0.03	0.01	1.00	1.00	-0.85	-2.00	115	-63	185
-0.03	0.01	1.00	0.91	-0.75	-1.81	121	-67	183
-0.03	0.01	1.01	0.88	-0.55	-1.95	115	-61	181
-0.03	0.01	1.00	1.01	-0.64	-1.88	119	-63	183
-0.02	0.01	1.01	1.03	-0.69	-2.01	116	-68	184
